Label,Pairwise Deletion Sample Size for Observed Data,r Correlation,95% CI Lower Bound for r Correlation,95% CI Upper Bound for r Correlation,95% CI Width for r Correlation,d Correlation,d Correlation Minus |r| Correlation
Motor Selective Stop Signal Reaction Time with Stimulus Selective Stop Signal HDDM Threshold,338,-.0472,-.1599,.0702,.2301,.1164,.0692
Motor Selective Stop Signal Reaction Time with Stop Signal Reaction Time High,349,.4791,.3972,.5556,.1584,.4845,.0054
Motor Selective Stop Signal Reaction Time with Stop Signal Reaction Time Low,349,.4266,.3364,.5118,.1754,.4443,.0177
Motor Selective Stop Signal Reaction Time with Stop Signal HDDM Drift,349,-.2045,-.3059,-.0989,.2070,.2031,-.0014
Motor Selective Stop Signal Reaction Time with Stop Signal HDDM Non-Decision,349,.1022,-.0129,.2091,.2221,.1544,.0522
Motor Selective Stop Signal Reaction Time with Stop Signal HDDM Threshold,349,-.1333,-.2384,-.0244,.2140,.1697,.0364
Motor Selective Stop Signal Reaction Time with Stop Signal Proactive Reaction Time Speeding,349,.0107,-.1221,.1434,.2655,.1168,.1062
Motor Selective Stop Signal Reaction Time with Stop Signal Proactive Reaction Time Slowing,349,-.1149,-.2308,.0096,.2403,.1282,.0133
Motor Selective Stop Signal Reaction Time with Stroop HDDM Drift,360,-.2068,-.3039,-.1063,.1975,.2022,-.0046
Motor Selective Stop Signal Reaction Time with Stroop HDDM Non-Decision,360,.1471,.0360,.2539,.2179,.1718,.0247
Motor Selective Stop Signal Reaction Time with Stroop HDDM Threshold,360,-.0556,-.1616,.0540,.2156,.0961,.0404
Motor Selective Stop Signal Reaction Time with Stroop HDDM Drift of Stroop Effect,360,-.0117,-.1205,.0973,.2179,.0721,.0604
Motor Selective Stop Signal Reaction Time with Tower of London Average Move Time,361,.1167,-.0203,.2590,.2793,.1065,-.0101
Motor Selective Stop Signal Reaction Time with Tower of London Number of Extra Moves,361,-.0051,-.1077,.1032,.2110,.0943,.0892
Motor Selective Stop Signal Reaction Time with Tower of London Number of Optimal Solutions,361,-.0405,-.1427,.0676,.2103,.1034,.0629
Motor Selective Stop Signal Reaction Time with Tower of London Planning Time,361,-.0089,-.1111,.0923,.2034,.0702,.0613
Motor Selective Stop Signal Reaction Time with Two-Stage Decision Model-Based,317,-.0609,-.1719,.0499,.2218,.1199,.0590
Motor Selective Stop Signal Reaction Time with Two-Stage Decision Model-Free,317,.0093,-.1034,.1244,.2278,.1040,.0947
Motor Selective Stop Signal Reaction Time with Two-Stage Decision Perseverance,317,-.0855,-.1902,.0223,.2126,.1068,.0213
Motor Selective Stop Signal Reaction Time with Writing Task Neutral Probability,361,.0032,-.1012,.1053,.2065,.0448,.0415
Motor Selective Stop Signal Reaction Time with Writing Task Positive Probability,361,-.0054,-.1011,.0940,.1951,.0674,.0620
Motor Selective Stop Signal Reaction Time with Body Mass Index,359,.1252,.0250,.2241,.1990,.1308,.0057
Motor Selective Stop Signal Reaction Time with K6 Nervous,361,-.0150,-.1194,.0938,.2132,.0490,.0340
Motor Selective Stop Signal Reaction Time with K6 Hopeless,361,-.0040,-.0950,.0905,.1855,.0673,.0632
Motor Selective Stop Signal Reaction Time with K6 Restless/Fidgety,361,.0688,-.0334,.1721,.2055,.1092,.0403
Motor Selective Stop Signal Reaction Time with K6 Depressed,361,.0239,-.0683,.1216,.1899,.0714,.0474
Motor Selective Stop Signal Reaction Time with K6 Everything an Effort,361,-.0005,-.0990,.1014,.2004,.0934,.0929
Motor Selective Stop Signal Reaction Time with K6 Worthless,361,.0100,-.0860,.1110,.1971,.0587,.0487
Motor Selective Stop Signal Reaction Time with Cigarettes Per Day,361,.0147,-.0814,.1148,.1962,.0511,.0364
Motor Selective Stop Signal Reaction Time with How Many Drinks When Drinking,361,-.0229,-.1163,.0722,.1885,.0701,.0472
Motor Selective Stop Signal Reaction Time with How Often 6+ Drinks,361,.0160,-.0863,.1207,.2070,.0604,.0445
Motor Selective Stop Signal Reaction Time with How Often Unable to Stop Drinking,361,-.0622,-.1571,.0379,.1951,.0697,.0076
Motor Selective Stop Signal HDDM Drift with Motor Selective Stop Signal HDDM Non-Decision,361,.2232,.0969,.3346,.2377,.1939,-.0293
Motor Selective Stop Signal HDDM Drift with Motor Selective Stop Signal HDDM Threshold,361,.3512,.2404,.4554,.2150,.3613,.0101
Motor Selective Stop Signal HDDM Drift with Motor Selective Stop Signal Reactive Control,361,-.0782,-.1913,.0332,.2245,.1131,.0348
Motor Selective Stop Signal HDDM Drift with Motor Selective Stop Signal Proactive Control,361,-.0443,-.1370,.0517,.1887,.1241,.0798
Motor Selective Stop Signal HDDM Drift with Probabilistic Selection Task Positive Learning Bias,272,.0326,-.0749,.1340,.2088,.1133,.0807
Motor Selective Stop Signal HDDM Drift with Probabilistic Selection Task Value Sensitivity,272,.0146,-.0940,.1257,.2197,.1129,.0983
Motor Selective Stop Signal HDDM Drift with Psychological Refractory Period Slope,356,.0203,-.0947,.1383,.2330,.0896,.0693
Motor Selective Stop Signal HDDM Drift with Raven Progressive Matrices,361,.2544,.1544,.3493,.1949,.2402,-.0142
Motor Selective Stop Signal HDDM Drift with Shift Task Accuracy,357,.0549,-.0395,.1542,.1937,.1012,.0463
Motor Selective Stop Signal HDDM Drift with Shift Task Learning Rate,357,.0649,-.0352,.1641,.1993,.1039,.0390
Motor Selective Stop Signal HDDM Drift with Simon Task HDDM Drift,359,.3985,.3106,.4781,.1675,.3613,-.0372
Motor Selective Stop Signal HDDM Drift with Simon Task HDDM Non-Decision,359,.0095,-.1147,.1240,.2387,.1411,.1315
Motor Selective Stop Signal HDDM Drift with Simon Task HDDM Threshold,359,.0117,-.0873,.1069,.1942,.0862,.0745
Motor Selective Stop Signal HDDM Drift with Simon Task HDDM Drift of Simon Effect,359,-.0871,-.1808,.0071,.1879,.1031,.0160
Motor Selective Stop Signal HDDM Drift with Simple Reaction Time Average Reaction Time,358,-.2407,-.3363,-.1361,.2002,.2190,-.0217
Motor Selective Stop Signal HDDM Drift with Spatial Span Forward Span,361,.0404,-.0605,.1372,.1977,.0790,.0385
Motor Selective Stop Signal HDDM Drift with Spatial Span Reverse Span,361,.1252,.0224,.2219,.1995,.1543,.0291
Motor Selective Stop Signal HDDM Drift with Stimulus Selective Stop Signal Reaction Time,338,-.1605,-.2645,-.0548,.2097,.1770,.0165
Motor Selective Stop Signal HDDM Drift with Stimulus Selective Stop Signal HDDM Drift,338,.4654,.3866,.5413,.1547,.4763,.0109
Motor Selective Stop Signal HDDM Drift with Stimulus Selective Stop Signal HDDM Non-Decision,338,.1117,.0100,.2055,.1955,.1112,-.0005
Motor Selective Stop Signal HDDM Drift with Stimulus Selective Stop Signal HDDM Threshold,338,.2419,.1429,.3367,.1938,.2458,.0038
Motor Selective Stop Signal HDDM Drift with Stop Signal Reaction Time High,349,-.0897,-.1907,.0148,.2055,.1421,.0524
Motor Selective Stop Signal HDDM Drift with Stop Signal Reaction Time Low,349,-.0579,-.1737,.0558,.2295,.1145,.0565
Motor Selective Stop Signal HDDM Drift with Stop Signal HDDM Drift,349,.5409,.4600,.6154,.1554,.5119,-.0290
Motor Selective Stop Signal HDDM Drift with Stop Signal HDDM Non-Decision,349,.1076,-.0126,.2176,.2302,.1341,.0265
Motor Selective Stop Signal HDDM Drift with Stop Signal HDDM Threshold,349,.1972,.0933,.3070,.2137,.2026,.0055
Motor Selective Stop Signal HDDM Drift with Stop Signal Proactive Reaction Time Speeding,349,.0238,-.0899,.1261,.2160,.0903,.0665
Motor Selective Stop Signal HDDM Drift with Stop Signal Proactive Reaction Time Slowing,349,-.0034,-.1057,.1021,.2078,.0966,.0933
Motor Selective Stop Signal HDDM Drift with Stroop HDDM Drift,360,.3511,.2517,.4456,.1938,.3323,-.0189
Motor Selective Stop Signal HDDM Drift with Stroop HDDM Non-Decision,360,-.0193,-.1236,.0861,.2097,.1161,.0968
Motor Selective Stop Signal HDDM Drift with Stroop HDDM Threshold,360,.1517,.0487,.2532,.2045,.1669,.0151
Motor Selective Stop Signal HDDM Drift with Stroop HDDM Drift of Stroop Effect,360,.0011,-.1004,.1030,.2033,.0838,.0827
Motor Selective Stop Signal HDDM Drift with Tower of London Average Move Time,361,.0247,-.0873,.1405,.2277,.0971,.0725
Motor Selective Stop Signal HDDM Drift with Tower of London Number of Extra Moves,361,-.0760,-.1760,.0218,.1978,.1230,.0470
Motor Selective Stop Signal HDDM Drift with Tower of London Number of Optimal Solutions,361,.0870,-.0049,.1798,.1847,.1024,.0153
Motor Selective Stop Signal HDDM Drift with Tower of London Planning Time,361,.0745,-.0201,.1708,.1908,.1009,.0264
Motor Selective Stop Signal HDDM Drift with Two-Stage Decision Model-Based,317,.1517,.0501,.2483,.1982,.1812,.0295
Motor Selective Stop Signal HDDM Drift with Two-Stage Decision Model-Free,317,.0348,-.0640,.1344,.1984,.0925,.0577
Motor Selective Stop Signal HDDM Drift with Two-Stage Decision Perseverance,317,.1389,.0334,.2389,.2055,.1333,-.0056
Motor Selective Stop Signal HDDM Drift with Writing Task Neutral Probability,361,.0664,-.0394,.1730,.2123,.0972,.0307
Motor Selective Stop Signal HDDM Drift with Writing Task Positive Probability,361,.0857,-.0169,.1884,.2054,.1063,.0205
Motor Selective Stop Signal HDDM Drift with Body Mass Index,359,-.1392,-.2263,-.0537,.1726,.1589,.0197
Motor Selective Stop Signal HDDM Drift with K6 Nervous,361,-.0949,-.1873,-.0011,.1863,.1220,.0271
Motor Selective Stop Signal HDDM Drift with K6 Hopeless,361,-.1025,-.1990,-.0023,.1967,.1347,.0322
Motor Selective Stop Signal HDDM Drift with K6 Restless/Fidgety,361,-.1417,-.2330,-.0502,.1829,.1619,.0203
Motor Selective Stop Signal HDDM Drift with K6 Depressed,361,-.1518,-.2411,-.0559,.1852,.1689,.0170
Motor Selective Stop Signal HDDM Drift with K6 Everything an Effort,361,-.1118,-.2064,-.0162,.1902,.1317,.0199
Motor Selective Stop Signal HDDM Drift with K6 Worthless,361,-.0826,-.1736,.0102,.1838,.1119,.0293
Motor Selective Stop Signal HDDM Drift with Cigarettes Per Day,361,.0067,-.0892,.1072,.1964,.0553,.0486
Motor Selective Stop Signal HDDM Drift with How Many Drinks When Drinking,361,-.0802,-.1830,.0307,.2137,.0971,.0169
Motor Selective Stop Signal HDDM Drift with How Often 6+ Drinks,361,-.0849,-.1797,.0140,.1937,.0997,.0148
Motor Selective Stop Signal HDDM Drift with How Often Unable to Stop Drinking,361,-.0141,-.0941,.0739,.1679,.0814,.0673
Motor Selective Stop Signal HDDM Non-Decision with Motor Selective Stop Signal HDDM Threshold,361,-.4479,-.5409,-.3448,.1961,.3867,-.0612
Motor Selective Stop Signal HDDM Non-Decision with Motor Selective Stop Signal Reactive Control,361,.1174,.0010,.2301,.2291,.1809,.0635
Motor Selective Stop Signal HDDM Non-Decision with Motor Selective Stop Signal Proactive Control,361,-.1727,-.2939,-.0619,.2320,.2760,.1033
Motor Selective Stop Signal HDDM Non-Decision with Probabilistic Selection Task Positive Learning Bias,272,.0169,-.0993,.1273,.2266,.0894,.0726
Motor Selective Stop Signal HDDM Non-Decision with Probabilistic Selection Task Value Sensitivity,272,-.0072,-.1130,.1015,.2145,.0806,.0734
Motor Selective Stop Signal HDDM Non-Decision with Psychological Refractory Period Slope,356,.1370,.0103,.2592,.2488,.1747,.0377
Motor Selective Stop Signal HDDM Non-Decision with Raven Progressive Matrices,361,-.0188,-.1207,.0778,.1984,.1153,.0965
Motor Selective Stop Signal HDDM Non-Decision with Shift Task Accuracy,357,.0147,-.0827,.1150,.1977,.0876,.0729
Motor Selective Stop Signal HDDM Non-Decision with Shift Task Learning Rate,357,-.0529,-.1540,.0515,.2056,.1064,.0535
Motor Selective Stop Signal HDDM Non-Decision with Simon Task HDDM Drift,359,.0929,-.0114,.1868,.1982,.1089,.0160
Motor Selective Stop Signal HDDM Non-Decision with Simon Task HDDM Non-Decision,359,.1236,-.0115,.2739,.2854,.2944,.1708
Motor Selective Stop Signal HDDM Non-Decision with Simon Task HDDM Threshold,359,.0505,-.0538,.1516,.2054,.1420,.0915
Motor Selective Stop Signal HDDM Non-Decision with Simon Task HDDM Drift of Simon Effect,359,-.0522,-.1548,.0507,.2055,.0900,.0378
Motor Selective Stop Signal HDDM Non-Decision with Simple Reaction Time Average Reaction Time,358,.1257,-.0199,.2762,.2962,.2933,.1676
Motor Selective Stop Signal HDDM Non-Decision with Spatial Span Forward Span,361,-.0782,-.1778,.0186,.1964,.1143,.0361
Motor Selective Stop Signal HDDM Non-Decision with Spatial Span Reverse Span,361,-.0022,-.1085,.0965,.2050,.1142,.1120
Motor Selective Stop Signal HDDM Non-Decision with Stimulus Selective Stop Signal Reaction Time,338,.1906,.0603,.3160,.2558,.2944,.1038
Motor Selective Stop Signal HDDM Non-Decision with Stimulus Selective Stop Signal HDDM Drift,338,.1519,.0228,.2691,.2463,.1328,-.0191
Motor Selective Stop Signal HDDM Non-Decision with Stimulus Selective Stop Signal HDDM Non-Decision,338,.1886,.0824,.3059,.2234,.2953,.1067
Motor Selective Stop Signal HDDM Non-Decision with Stimulus Selective Stop Signal HDDM Threshold,338,-.0509,-.1422,.0348,.1770,.1331,.0822
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal Reaction Time High,349,.1877,.0784,.2976,.2191,.2687,.0810
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal Reaction Time Low,349,.0959,-.0542,.2495,.3037,.2592,.1633
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal HDDM Drift,349,.1362,.0187,.2423,.2236,.1201,-.0161
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal HDDM Non-Decision,349,.1970,.0773,.3181,.2408,.2950,.0980
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal HDDM Threshold,349,.0389,-.0458,.1245,.1702,.0914,.0525
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal Proactive Reaction Time Speeding,349,-.0796,-.2013,.0524,.2537,.1080,.0284
Motor Selective Stop Signal HDDM Non-Decision with Stop Signal Proactive Reaction Time Slowing,349,-.0692,-.1589,.0233,.1822,.1053,.0362
Motor Selective Stop Signal HDDM Non-Decision with Stroop HDDM Drift,360,-.0029,-.0979,.0946,.1926,.0756,.0728
Motor Selective Stop Signal HDDM Non-Decision with Stroop HDDM Non-Decision,360,.1442,.0299,.2596,.2297,.2084,.0641
Motor Selective Stop Signal HDDM Non-Decision with Stroop HDDM Threshold,360,.0556,-.0446,.1524,.1971,.0930,.0374
Motor Selective Stop Signal HDDM Non-Decision with Stroop HDDM Drift of Stroop Effect,360,.0282,-.0610,.1179,.1789,.0901,.0620
Motor Selective Stop Signal HDDM Non-Decision with Tower of London Average Move Time,361,.1021,.0038,.1955,.1918,.1822,.0801
Motor Selective Stop Signal HDDM Non-Decision with Tower of London Number of Extra Moves,361,-.0756,-.1761,.0274,.2035,.1235,.0479
Motor Selective Stop Signal HDDM Non-Decision with Tower of London Number of Optimal Solutions,361,-.0008,-.0950,.0960,.1910,.0814,.0806
Motor Selective Stop Signal HDDM Non-Decision with Tower of London Planning Time,361,.0887,-.0186,.1902,.2088,.1439,.0552
Motor Selective Stop Signal HDDM Non-Decision with Two-Stage Decision Model-Based,317,.0589,-.0434,.1565,.1998,.1127,.0539
Motor Selective Stop Signal HDDM Non-Decision with Two-Stage Decision Model-Free,317,.0018,-.0936,.0974,.1909,.0923,.0905
Motor Selective Stop Signal HDDM Non-Decision with Two-Stage Decision Perseverance,317,.0488,-.0632,.1535,.2168,.1078,.0590
Motor Selective Stop Signal HDDM Non-Decision with Writing Task Neutral Probability,361,-.0103,-.1192,.0995,.2187,.0644,.0541
Motor Selective Stop Signal HDDM Non-Decision with Writing Task Positive Probability,361,-.0387,-.1429,.0642,.2070,.0864,.0477
Motor Selective Stop Signal HDDM Non-Decision with Body Mass Index,359,-.0586,-.1683,.0505,.2188,.1035,.0449
Motor Selective Stop Signal HDDM Non-Decision with K6 Nervous,361,-.0230,-.1207,.0721,.1928,.0753,.0524
Motor Selective Stop Signal HDDM Non-Decision with K6 Hopeless,361,.0045,-.0904,.0976,.1880,.0776,.0731
Motor Selective Stop Signal HDDM Non-Decision with K6 Restless/Fidgety,361,.0233,-.0707,.1145,.1851,.0685,.0452
Motor Selective Stop Signal HDDM Non-Decision with K6 Depressed,361,.0196,-.0725,.1095,.1820,.0752,.0557
Motor Selective Stop Signal HDDM Non-Decision with K6 Everything an Effort,361,-.0327,-.1367,.0656,.2023,.0881,.0554
Motor Selective Stop Signal HDDM Non-Decision with K6 Worthless,361,-.0168,-.1186,.0804,.1991,.0713,.0545
Motor Selective Stop Signal HDDM Non-Decision with Cigarettes Per Day,361,.0709,-.0334,.1702,.2037,.1024,.0315
Motor Selective Stop Signal HDDM Non-Decision with How Many Drinks When Drinking,361,-.0446,-.1593,.0645,.2238,.0799,.0353
Motor Selective Stop Signal HDDM Non-Decision with How Often 6+ Drinks,361,-.0447,-.1523,.0623,.2146,.0989,.0542
Motor Selective Stop Signal HDDM Non-Decision with How Often Unable to Stop Drinking,361,-.0137,-.1010,.0694,.1704,.0528,.0391
Motor Selective Stop Signal HDDM Threshold with Motor Selective Stop Signal Reactive Control,361,-.1469,-.2574,-.0363,.2211,.2145,.0676
Motor Selective Stop Signal HDDM Threshold with Motor Selective Stop Signal Proactive Control,361,.4042,.3034,.4990,.1955,.3992,-.0050
Motor Selective Stop Signal HDDM Threshold with Probabilistic Selection Task Positive Learning Bias,272,.0864,-.0418,.2035,.2453,.1200,.0336
Motor Selective Stop Signal HDDM Threshold with Probabilistic Selection Task Value Sensitivity,272,-.0989,-.2102,.0244,.2346,.1151,.0162
Motor Selective Stop Signal HDDM Threshold with Psychological Refractory Period Slope,356,.0988,-.0053,.2010,.2063,.1176,.0188
Motor Selective Stop Signal HDDM Threshold with Raven Progressive Matrices,361,.0561,-.0365,.1495,.1859,.1037,.0476
Motor Selective Stop Signal HDDM Threshold with Shift Task Accuracy,357,-.0316,-.1244,.0642,.1886,.0725,.0409
Motor Selective Stop Signal HDDM Threshold with Shift Task Learning Rate,357,.0278,-.0705,.1243,.1948,.0702,.0424
Motor Selective Stop Signal HDDM Threshold with Simon Task HDDM Drift,359,.1136,.0192,.2044,.1852,.1257,.0122
Motor Selective Stop Signal HDDM Threshold with Simon Task HDDM Non-Decision,359,.0187,-.0751,.1102,.1854,.0902,.0715
Motor Selective Stop Signal HDDM Threshold with Simon Task HDDM Threshold,359,.2209,.1302,.3112,.1810,.2310,.0101
Motor Selective Stop Signal HDDM Threshold with Simon Task HDDM Drift of Simon Effect,359,.0608,-.0463,.1654,.2117,.0901,.0293
Motor Selective Stop Signal HDDM Threshold with Simple Reaction Time Average Reaction Time,358,.0304,-.0578,.1195,.1773,.0864,.0560
Motor Selective Stop Signal HDDM Threshold with Spatial Span Forward Span,361,-.0236,-.1178,.0662,.1840,.1116,.0881
Motor Selective Stop Signal HDDM Threshold with Spatial Span Reverse Span,361,-.0137,-.1145,.0879,.2024,.0949,.0811
Motor Selective Stop Signal HDDM Threshold with Stimulus Selective Stop Signal Reaction Time,338,-.1276,-.2282,-.0262,.2020,.1762,.0485
Motor Selective Stop Signal HDDM Threshold with Stimulus Selective Stop Signal HDDM Drift,338,.1593,.0588,.2572,.1984,.1836,.0243
Motor Selective Stop Signal HDDM Threshold with Stimulus Selective Stop Signal HDDM Non-Decision,338,.0419,-.0652,.1431,.2083,.0940,.0521
Motor Selective Stop Signal HDDM Threshold with Stimulus Selective Stop Signal HDDM Threshold,338,.4361,.3435,.5242,.1808,.4325,-.0036
Motor Selective Stop Signal HDDM Threshold with Stop Signal Reaction Time High,349,.0168,-.0852,.1239,.2092,.0810,.0642
Motor Selective Stop Signal HDDM Threshold with Stop Signal Reaction Time Low,349,.0849,-.0202,.1899,.2102,.0935,.0085
Motor Selective Stop Signal HDDM Threshold with Stop Signal HDDM Drift,349,.2465,.1391,.3551,.2160,.2631,.0166
Motor Selective Stop Signal HDDM Threshold with Stop Signal HDDM Non-Decision,349,.0946,-.0009,.1873,.1882,.1007,.0061
Motor Selective Stop Signal HDDM Threshold with Stop Signal HDDM Threshold,349,.3102,.2079,.4101,.2022,.3289,.0187
Motor Selective Stop Signal HDDM Threshold with Stop Signal Proactive Reaction Time Speeding,349,.0827,-.0211,.1732,.1944,.0903,.0077
Motor Selective Stop Signal HDDM Threshold with Stop Signal Proactive Reaction Time Slowing,349,.0947,.0030,.1878,.1848,.1470,.0523
Motor Selective Stop Signal HDDM Threshold with Stroop HDDM Drift,360,.1987,.0980,.2982,.2002,.2008,.0021
Motor Selective Stop Signal HDDM Threshold with Stroop HDDM Non-Decision,360,.1095,.0078,.2143,.2065,.1433,.0338
Motor Selective Stop Signal HDDM Threshold with Stroop HDDM Threshold,360,.2879,.1926,.3782,.1856,.2879,-.0001
Motor Selective Stop Signal HDDM Threshold with Stroop HDDM Drift of Stroop Effect,360,.0509,-.0421,.1431,.1852,.1139,.0630
Motor Selective Stop Signal HDDM Threshold with Tower of London Average Move Time,361,.1646,.0654,.2629,.1975,.1743,.0097
Motor Selective Stop Signal HDDM Threshold with Tower of London Number of Extra Moves,361,-.1401,-.2378,-.0336,.2042,.1832,.0431
Motor Selective Stop Signal HDDM Threshold with Tower of London Number of Optimal Solutions,361,.0150,-.0863,.1142,.2005,.0772,.0622
Motor Selective Stop Signal HDDM Threshold with Tower of London Planning Time,361,.0970,-.0065,.2044,.2109,.1531,.0561
Motor Selective Stop Signal HDDM Threshold with Two-Stage Decision Model-Based,317,-.0681,-.1701,.0435,.2136,.0865,.0184
Motor Selective Stop Signal HDDM Threshold with Two-Stage Decision Model-Free,317,.0880,-.0235,.1972,.2207,.1097,.0218
Motor Selective Stop Signal HDDM Threshold with Two-Stage Decision Perseverance,317,-.0225,-.1279,.0880,.2159,.0742,.0517
Motor Selective Stop Signal HDDM Threshold with Writing Task Neutral Probability,361,.0686,-.0381,.1717,.2098,.0812,.0126
Motor Selective Stop Signal HDDM Threshold with Writing Task Positive Probability,361,.0805,-.0314,.1900,.2214,.1185,.0380
Motor Selective Stop Signal HDDM Threshold with Body Mass Index,359,-.0645,-.1578,.0308,.1885,.1080,.0435
Motor Selective Stop Signal HDDM Threshold with K6 Nervous,361,-.1276,-.2193,-.0306,.1887,.1099,-.0177
Motor Selective Stop Signal HDDM Threshold with K6 Hopeless,361,-.1288,-.2144,-.0399,.1745,.1393,.0105
Motor Selective Stop Signal HDDM Threshold with K6 Restless/Fidgety,361,-.1471,-.2332,-.0596,.1735,.1519,.0047
Motor Selective Stop Signal HDDM Threshold with K6 Depressed,361,-.1185,-.1962,-.0350,.1612,.1281,.0095
Motor Selective Stop Signal HDDM Threshold with K6 Everything an Effort,361,-.0919,-.1862,.0079,.1941,.1040,.0121
Motor Selective Stop Signal HDDM Threshold with K6 Worthless,361,-.1000,-.1815,-.0122,.1693,.1023,.0023
Motor Selective Stop Signal HDDM Threshold with Cigarettes Per Day,361,-.0148,-.1045,.0766,.1811,.0617,.0468
Motor Selective Stop Signal HDDM Threshold with How Many Drinks When Drinking,361,-.0716,-.1650,.0276,.1926,.0903,.0187
Motor Selective Stop Signal HDDM Threshold with How Often 6+ Drinks,361,-.0621,-.1533,.0352,.1885,.0749,.0127
Motor Selective Stop Signal HDDM Threshold with How Often Unable to Stop Drinking,361,-.0030,-.0852,.0860,.1712,.0389,.0359
Motor Selective Stop Signal Reactive Control with Motor Selective Stop Signal Proactive Control,361,-.2075,-.3087,-.1018,.2069,.2253,.0178
Motor Selective Stop Signal Reactive Control with Probabilistic Selection Task Positive Learning Bias,272,-.0087,-.1118,.1045,.2163,.1206,.1119
Motor Selective Stop Signal Reactive Control with Probabilistic Selection Task Value Sensitivity,272,.0045,-.1002,.1025,.2027,.1154,.1109
Motor Selective Stop Signal Reactive Control with Psychological Refractory Period Slope,356,.1438,.0392,.2483,.2091,.1469,.0031
Motor Selective Stop Signal Reactive Control with Raven Progressive Matrices,361,.0550,-.0431,.1538,.1969,.1022,.0472
Motor Selective Stop Signal Reactive Control with Shift Task Accuracy,357,-.0333,-.1354,.0693,.2047,.0844,.0511
Motor Selective Stop Signal Reactive Control with Shift Task Learning Rate,357,-.0147,-.1188,.0930,.2118,.0917,.0769
Motor Selective Stop Signal Reactive Control with Simon Task HDDM Drift,359,-.0785,-.1955,.0431,.2386,.0927,.0142
Motor Selective Stop Signal Reactive Control with Simon Task HDDM Non-Decision,359,.0484,-.0827,.1822,.2649,.1428,.0943
Motor Selective Stop Signal Reactive Control with Simon Task HDDM Threshold,359,.0829,-.0257,.1884,.2141,.0955,.0126
Motor Selective Stop Signal Reactive Control with Simon Task HDDM Drift of Simon Effect,359,.0773,-.0148,.1656,.1804,.0922,.0149
Motor Selective Stop Signal Reactive Control with Simple Reaction Time Average Reaction Time,358,.0818,-.0418,.2013,.2431,.1115,.0298
Motor Selective Stop Signal Reactive Control with Spatial Span Forward Span,361,-.0001,-.1004,.1037,.2041,.0693,.0692
Motor Selective Stop Signal Reactive Control with Spatial Span Reverse Span,361,-.0479,-.1498,.0581,.2079,.0933,.0454
Motor Selective Stop Signal Reactive Control with Stimulus Selective Stop Signal Reaction Time,338,.1663,.0529,.2792,.2263,.2114,.0451
Motor Selective Stop Signal Reactive Control with Stimulus Selective Stop Signal HDDM Drift,338,-.1263,-.2218,-.0293,.1926,.1532,.0269
Motor Selective Stop Signal Reactive Control with Stimulus Selective Stop Signal HDDM Non-Decision,338,.0605,-.0367,.1601,.1968,.1026,.0421
Motor Selective Stop Signal Reactive Control with Stimulus Selective Stop Signal HDDM Threshold,338,-.1385,-.2289,-.0463,.1826,.1567,.0182
Motor Selective Stop Signal Reactive Control with Stop Signal Reaction Time High,349,.1642,.0508,.2746,.2238,.1470,-.0172
Motor Selective Stop Signal Reactive Control with Stop Signal Reaction Time Low,349,.1567,.0345,.2777,.2433,.1414,-.0154
Motor Selective Stop Signal Reactive Control with Stop Signal HDDM Drift,349,-.1486,-.2534,-.0396,.2138,.1667,.0181
Motor Selective Stop Signal Reactive Control with Stop Signal HDDM Non-Decision,349,.0031,-.1244,.1206,.2450,.0816,.0785
Motor Selective Stop Signal Reactive Control with Stop Signal HDDM Threshold,349,-.0897,-.1916,.0113,.2029,.1242,.0346
Motor Selective Stop Signal Reactive Control with Stop Signal Proactive Reaction Time Speeding,349,.0160,-.0726,.1149,.1874,.0740,.0580
Motor Selective Stop Signal Reactive Control with Stop Signal Proactive Reaction Time Slowing,349,-.0712,-.1704,.0277,.1981,.1094,.0382
Motor Selective Stop Signal Reactive Control with Stroop HDDM Drift,360,-.1125,-.2107,-.0155,.1952,.1276,.0150
Motor Selective Stop Signal Reactive Control with Stroop HDDM Non-Decision,360,.0536,-.0656,.1680,.2337,.1042,.0507
Motor Selective Stop Signal Reactive Control with Stroop HDDM Threshold,360,-.0634,-.1570,.0339,.1909,.0716,.0082
Motor Selective Stop Signal Reactive Control with Stroop HDDM Drift of Stroop Effect,360,-.0587,-.1656,.0496,.2151,.0852,.0264
Motor Selective Stop Signal Reactive Control with Tower of London Average Move Time,361,.0610,-.0605,.1797,.2403,.1086,.0476
Motor Selective Stop Signal Reactive Control with Tower of London Number of Extra Moves,361,-.0084,-.1022,.0827,.1849,.0646,.0562
Motor Selective Stop Signal Reactive Control with Tower of London Number of Optimal Solutions,361,.0385,-.0576,.1363,.1939,.0826,.0442
Motor Selective Stop Signal Reactive Control with Tower of London Planning Time,361,-.0431,-.1416,.0607,.2022,.0810,.0379
Motor Selective Stop Signal Reactive Control with Two-Stage Decision Model-Based,317,-.0034,-.0949,.0926,.1874,.0779,.0744
Motor Selective Stop Signal Reactive Control with Two-Stage Decision Model-Free,317,-.0426,-.1533,.0662,.2195,.0957,.0532
